NOMBRE_IES,NOMBRE_CARRERA,Mean(INGRESO_MENSUAL_USD),Count(SITUACION_LABORAL),Mean(MESES_CONSEGUIR_EMPLEO),AÑO,NOMBRE_IES_LIMPIO,TOTAL_ESTUDIANTES,TOTAL_DOCENTES,TOTAL_ARTICULOS,NOMBRE_IES (Right),TIPO_IES,TIPO_FINANCIAMIENTO,NOMBRE_CARRERA (Right),CAMPO_AMPLIO,NIVEL_FORMACIÓN,MODALIDAD,PROVINCIA,CANTÓN,ESTADO,NOMBRE_IES_LIMPIO (Right)
UNIVERSIDAD CENTRAL DEL ECUADOR,ODONTOLOGIA,534.9540946372234,1585,11.90599369085173,2016,UNIVERSIDAD CENTRAL DEL ECUADOR,37995,2171,170,UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,ODONTOLOGIA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,PICHINCHA,QUITO,VIGENTE,UNIVERSIDAD CENTRAL DEL ECUADOR
UNIVERSIDAD CENTRAL DEL ECUADOR,ODONTOLOGIA,534.9540946372234,1585,11.90599369085173,2017,UNIVERSIDAD CENTRAL DEL ECUADOR,32758,2111,359,UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,ODONTOLOGIA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,PICHINCHA,QUITO,VIGENTE,UNIVERSIDAD CENTRAL DEL ECUADOR
UNIVERSIDAD CENTRAL DEL ECUADOR,ODONTOLOGIA,534.9540946372234,1585,11.90599369085173,2019,UNIVERSIDAD CENTRAL DEL ECUADOR,40975,2130,222,UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,ODONTOLOGIA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,PICHINCHA,QUITO,VIGENTE,UNIVERSIDAD CENTRAL DEL ECUADOR
UNIVERSIDAD CENTRAL DEL ECUADOR,ODONTOLOGIA,534.9540946372234,1585,11.90599369085173,2020,UNIVERSIDAD CENTRAL DEL ECUADOR,41318,1556,233,UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,ODONTOLOGIA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,PICHINCHA,QUITO,VIGENTE,UNIVERSIDAD CENTRAL DEL ECUADOR
UNIVERSIDAD CENTRAL DEL ECUADOR,ENFERMERIA,556.1212031047864,1546,11.932082794307906,2015,UNIVERSIDAD CENTRAL DEL ECUADOR,40968,1766,92,UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,ENFERMERIA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL TÉCNICO SUPERIOR,PRESENCIAL,PICHINCHA,QUITO,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD CENTRAL DEL ECUADOR
UNIVERSIDAD CENTRAL DEL ECUADOR,ENFERMERIA,556.1212031047864,1546,11.932082794307906,2016,UNIVERSIDAD CENTRAL DEL ECUADOR,37995,2171,170,UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,ENFERMERIA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL TÉCNICO SUPERIOR,PRESENCIAL,PICHINCHA,QUITO,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD CENTRAL DEL ECUADOR
UNIVERSIDAD CENTRAL DEL ECUADOR,ENFERMERIA,556.1212031047864,1546,11.932082794307906,2017,UNIVERSIDAD CENTRAL DEL ECUADOR,32758,2111,359,UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,ENFERMERIA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL TÉCNICO SUPERIOR,PRESENCIAL,PICHINCHA,QUITO,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD CENTRAL DEL ECUADOR
UNIVERSIDAD CENTRAL DEL ECUADOR,ENFERMERIA,556.1212031047864,1546,11.932082794307906,2019,UNIVERSIDAD CENTRAL DEL ECUADOR,40975,2130,222,UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,ENFERMERIA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL TÉCNICO SUPERIOR,PRESENCIAL,PICHINCHA,QUITO,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD CENTRAL DEL ECUADOR
UNIVERSIDAD CENTRAL DEL ECUADOR,ENFERMERIA,556.1212031047864,1546,11.932082794307906,2020,UNIVERSIDAD CENTRAL DEL ECUADOR,41318,1556,233,UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,ENFERMERIA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL TÉCNICO SUPERIOR,PRESENCIAL,PICHINCHA,QUITO,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD CENTRAL DEL ECUADOR
UNIVERSIDAD CENTRAL DEL ECUADOR,ENFERMERIA,556.1212031047864,1546,11.932082794307906,2015,UNIVERSIDAD CENTRAL DEL ECUADOR,40968,1766,92,UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,ENFERMERIA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,SANTO DOMINGO DE LOS TSÁCHILAS,SANTO DOMINGO DE LOS COLORADOS,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD CENTRAL DEL ECUADOR
UNIVERSIDAD CENTRAL DEL ECUADOR,ENFERMERIA,556.1212031047864,1546,11.932082794307906,2016,UNIVERSIDAD CENTRAL DEL ECUADOR,37995,2171,170,UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,ENFERMERIA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,SANTO DOMINGO DE LOS TSÁCHILAS,SANTO DOMINGO DE LOS COLORADOS,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD CENTRAL DEL ECUADOR
UNIVERSIDAD CENTRAL DEL ECUADOR,ENFERMERIA,556.1212031047864,1546,11.932082794307906,2017,UNIVERSIDAD CENTRAL DEL ECUADOR,32758,2111,359,UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,ENFERMERIA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,SANTO DOMINGO DE LOS TSÁCHILAS,SANTO DOMINGO DE LOS COLORADOS,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD CENTRAL DEL ECUADOR
UNIVERSIDAD CENTRAL DEL ECUADOR,ENFERMERIA,556.1212031047864,1546,11.932082794307906,2019,UNIVERSIDAD CENTRAL DEL ECUADOR,40975,2130,222,UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,ENFERMERIA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,SANTO DOMINGO DE LOS TSÁCHILAS,SANTO DOMINGO DE LOS COLORADOS,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD CENTRAL DEL ECUADOR
UNIVERSIDAD CENTRAL DEL ECUADOR,ENFERMERIA,556.1212031047864,1546,11.932082794307906,2020,UNIVERSIDAD CENTRAL DEL ECUADOR,41318,1556,233,UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,ENFERMERIA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,SANTO DOMINGO DE LOS TSÁCHILAS,SANTO DOMINGO DE LOS COLORADOS,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD CENTRAL DEL ECUADOR
UNIVERSIDAD CENTRAL DEL ECUADOR,MEDICINA,548.56940923077,1625,12.27323076923077,2015,UNIVERSIDAD CENTRAL DEL ECUADOR,40968,1766,92,UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,MEDICINA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,PICHINCHA,QUITO,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD CENTRAL DEL ECUADOR
UNIVERSIDAD CENTRAL DEL ECUADOR,MEDICINA,548.56940923077,1625,12.27323076923077,2016,UNIVERSIDAD CENTRAL DEL ECUADOR,37995,2171,170,UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,MEDICINA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,PICHINCHA,QUITO,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD CENTRAL DEL ECUADOR
UNIVERSIDAD CENTRAL DEL ECUADOR,MEDICINA,548.56940923077,1625,12.27323076923077,2017,UNIVERSIDAD CENTRAL DEL ECUADOR,32758,2111,359,UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,MEDICINA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,PICHINCHA,QUITO,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD CENTRAL DEL ECUADOR
UNIVERSIDAD CENTRAL DEL ECUADOR,MEDICINA,548.56940923077,1625,12.27323076923077,2019,UNIVERSIDAD CENTRAL DEL ECUADOR,40975,2130,222,UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,MEDICINA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,PICHINCHA,QUITO,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD CENTRAL DEL ECUADOR
UNIVERSIDAD CENTRAL DEL ECUADOR,MEDICINA,548.56940923077,1625,12.27323076923077,2020,UNIVERSIDAD CENTRAL DEL ECUADOR,41318,1556,233,UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,MEDICINA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,PICHINCHA,QUITO,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD CENTRAL DEL ECUADOR
UNIVERSIDAD CENTRAL DEL ECUADOR,EDUCACION BASICA,549.9606858974366,1560,12.00705128205127,2015,UNIVERSIDAD CENTRAL DEL ECUADOR,40968,1766,92,UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,EDUCACION BASICA,EDUCACION,TERCER NIVEL O PREGRADO,SEMIPRESENCIAL,PICHINCHA,QUITO,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD CENTRAL DEL ECUADOR
UNIVERSIDAD CENTRAL DEL ECUADOR,EDUCACION BASICA,549.9606858974366,1560,12.00705128205127,2016,UNIVERSIDAD CENTRAL DEL ECUADOR,37995,2171,170,UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,EDUCACION BASICA,EDUCACION,TERCER NIVEL O PREGRADO,SEMIPRESENCIAL,PICHINCHA,QUITO,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD CENTRAL DEL ECUADOR
UNIVERSIDAD CENTRAL DEL ECUADOR,EDUCACION BASICA,549.9606858974366,1560,12.00705128205127,2017,UNIVERSIDAD CENTRAL DEL ECUADOR,32758,2111,359,UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,EDUCACION BASICA,EDUCACION,TERCER NIVEL O PREGRADO,SEMIPRESENCIAL,PICHINCHA,QUITO,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD CENTRAL DEL ECUADOR
UNIVERSIDAD CENTRAL DEL ECUADOR,EDUCACION BASICA,549.9606858974366,1560,12.00705128205127,2019,UNIVERSIDAD CENTRAL DEL ECUADOR,40975,2130,222,UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,EDUCACION BASICA,EDUCACION,TERCER NIVEL O PREGRADO,SEMIPRESENCIAL,PICHINCHA,QUITO,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD CENTRAL DEL ECUADOR
UNIVERSIDAD CENTRAL DEL ECUADOR,EDUCACION BASICA,549.9606858974366,1560,12.00705128205127,2020,UNIVERSIDAD CENTRAL DEL ECUADOR,41318,1556,233,UNIVERSIDAD CENTRAL DEL ECUADOR,UNIVERSIDAD,PÚBLICA,EDUCACION BASICA,EDUCACION,TERCER NIVEL O PREGRADO,SEMIPRESENCIAL,PICHINCHA,QUITO,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD CENTRAL DEL ECUADOR
UNIVERSIDAD DE CUENCA,ODONTOLOGIA,540.437532051282,1560,12.044230769230793,2015,UNIVERSIDAD DE CUENCA,19719,1278,173,UNIVERSIDAD DE CUENCA,UNIVERSIDAD,PÚBLICA,ODONTOLOGIA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,AZUAY,CUENCA,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD DE CUENCA
UNIVERSIDAD DE CUENCA,ODONTOLOGIA,540.437532051282,1560,12.044230769230793,2016,UNIVERSIDAD DE CUENCA,18305,1086,150,UNIVERSIDAD DE CUENCA,UNIVERSIDAD,PÚBLICA,ODONTOLOGIA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,AZUAY,CUENCA,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD DE CUENCA
UNIVERSIDAD DE CUENCA,ODONTOLOGIA,540.437532051282,1560,12.044230769230793,2017,UNIVERSIDAD DE CUENCA,18058,1009,197,UNIVERSIDAD DE CUENCA,UNIVERSIDAD,PÚBLICA,ODONTOLOGIA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,AZUAY,CUENCA,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD DE CUENCA
UNIVERSIDAD DE CUENCA,ODONTOLOGIA,540.437532051282,1560,12.044230769230793,2018,UNIVERSIDAD DE CUENCA,19288,1015,240,UNIVERSIDAD DE CUENCA,UNIVERSIDAD,PÚBLICA,ODONTOLOGIA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,AZUAY,CUENCA,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD DE CUENCA
UNIVERSIDAD DE CUENCA,ODONTOLOGIA,540.437532051282,1560,12.044230769230793,2019,UNIVERSIDAD DE CUENCA,19159,1013,220,UNIVERSIDAD DE CUENCA,UNIVERSIDAD,PÚBLICA,ODONTOLOGIA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,AZUAY,CUENCA,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD DE CUENCA
UNIVERSIDAD DE CUENCA,ODONTOLOGIA,540.437532051282,1560,12.044230769230793,2020,UNIVERSIDAD DE CUENCA,20574,946,210,UNIVERSIDAD DE CUENCA,UNIVERSIDAD,PÚBLICA,ODONTOLOGIA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,AZUAY,CUENCA,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD DE CUENCA
UNIVERSIDAD DE CUENCA,ODONTOLOGIA,540.437532051282,1560,12.044230769230793,2021,UNIVERSIDAD DE CUENCA,18896,1058,208,UNIVERSIDAD DE CUENCA,UNIVERSIDAD,PÚBLICA,ODONTOLOGIA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,AZUAY,CUENCA,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD DE CUENCA
UNIVERSIDAD DE CUENCA,ODONTOLOGIA,540.437532051282,1560,12.044230769230793,2022,UNIVERSIDAD DE CUENCA,18914,1063,310,UNIVERSIDAD DE CUENCA,UNIVERSIDAD,PÚBLICA,ODONTOLOGIA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,AZUAY,CUENCA,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD DE CUENCA
UNIVERSIDAD DE CUENCA,ENFERMERIA,556.7436825396815,1575,11.94412698412699,2015,UNIVERSIDAD DE CUENCA,19719,1278,173,UNIVERSIDAD DE CUENCA,UNIVERSIDAD,PÚBLICA,ENFERMERIA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,AZUAY,CUENCA,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD DE CUENCA
UNIVERSIDAD DE CUENCA,ENFERMERIA,556.7436825396815,1575,11.94412698412699,2016,UNIVERSIDAD DE CUENCA,18305,1086,150,UNIVERSIDAD DE CUENCA,UNIVERSIDAD,PÚBLICA,ENFERMERIA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,AZUAY,CUENCA,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD DE CUENCA
UNIVERSIDAD DE CUENCA,ENFERMERIA,556.7436825396815,1575,11.94412698412699,2017,UNIVERSIDAD DE CUENCA,18058,1009,197,UNIVERSIDAD DE CUENCA,UNIVERSIDAD,PÚBLICA,ENFERMERIA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,AZUAY,CUENCA,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD DE CUENCA
UNIVERSIDAD DE CUENCA,ENFERMERIA,556.7436825396815,1575,11.94412698412699,2018,UNIVERSIDAD DE CUENCA,19288,1015,240,UNIVERSIDAD DE CUENCA,UNIVERSIDAD,PÚBLICA,ENFERMERIA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,AZUAY,CUENCA,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD DE CUENCA
UNIVERSIDAD DE CUENCA,ENFERMERIA,556.7436825396815,1575,11.94412698412699,2019,UNIVERSIDAD DE CUENCA,19159,1013,220,UNIVERSIDAD DE CUENCA,UNIVERSIDAD,PÚBLICA,ENFERMERIA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,AZUAY,CUENCA,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD DE CUENCA
UNIVERSIDAD DE CUENCA,ENFERMERIA,556.7436825396815,1575,11.94412698412699,2020,UNIVERSIDAD DE CUENCA,20574,946,210,UNIVERSIDAD DE CUENCA,UNIVERSIDAD,PÚBLICA,ENFERMERIA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,AZUAY,CUENCA,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD DE CUENCA
UNIVERSIDAD DE CUENCA,ENFERMERIA,556.7436825396815,1575,11.94412698412699,2021,UNIVERSIDAD DE CUENCA,18896,1058,208,UNIVERSIDAD DE CUENCA,UNIVERSIDAD,PÚBLICA,ENFERMERIA,SALUD Y SERVICIOS SOCIALES,TERCER NIVEL O PREGRADO,PRESENCIAL,AZUAY,CUENCA,NO VIGENTE HABILITADO PARA REGISTRO DE TÍTULOS,UNIVERSIDAD DE CUENCA
